GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDSC,GDSC 3.3.0,Amazon RDS for SQL Server,14.00.3281.6,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/AWSMSSQL_README.md
GDSC,GDSC 3.4.0,Amazon Aurora MySQL,2.07.2,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-aurora-mysql-guardium/README.md
GDSC,GDSC 3.4.0,Amazon DynamoDB,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-dynamodb-guardium/README.md
GDSC,GDSC 3.4.0,Amazon RDS for MariaDB,10.5.17,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-aws-guardium/README.md
GDSC,GDSC 3.4.0,Amazon RDS for MySQL,5.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GDSC,GDSC 3.4.0,Amazon RDS for PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDSC,GDSC 3.4.0,Amazon S3,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GDSC,GDSC 3.4.0,DocumentDB,4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GDSC,GDSC 3.4.0,Neptune,1.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC,GDSC 3.4.0,Amazon RDS for SQL Server,14.00.3281.6,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/AWSMSSQL_README.md
GDSC,GDSC 3.5.0,Amazon Aurora MySQL,2.07.2,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-aurora-mysql-guardium/README.md
GDSC,GDSC 3.5.0,Amazon DynamoDB,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-dynamodb-guardium/README.md
GDSC,GDSC 3.5.0,Amazon RDS for MariaDB,10.5.17,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-aws-guardium/README.md
GDSC,GDSC 3.5.0,Amazon RDS for MySQL,5.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GDSC,GDSC 3.5.0,Amazon RDS for PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDSC,GDSC 3.5.0,Amazon S3,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GDSC,GDSC 3.5.0,DocumentDB,4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GDSC,GDSC 3.5.0,Neptune,1.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC,GDSC 3.5.0,Amazon RDS for SQL Server,14.00.3281.6,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/AWSMSSQL_README.md
GDSC,GDSC 3.6.0,Amazon Aurora MySQL,2.07.2,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-aurora-mysql-guardium/README.md
GDSC,GDSC 3.6.0,Amazon DynamoDB,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-dynamodb-guardium/README.md
GDSC,GDSC 3.6.0,Amazon RDS for MariaDB,10.5.17,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-aws-guardium/README.md
GDSC,GDSC 3.6.0,Amazon RDS for MySQL,5.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GDSC,GDSC 3.6.0,Amazon RDS for PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDSC,GDSC 3.6.0,Amazon S3,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GDSC,GDSC 3.6.0,DocumentDB,4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GDSC,GDSC 3.6.0,Neptune,1.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC,GDSC 3.6.0,Amazon RDS for SQL Server,14.00.3281.6,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/AWSMSSQL_README.md
GDSC,GDSC SaaS,Amazon Aurora MySQL,2.07.2,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-aurora-mysql-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,Amazon DynamoDB,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-dynamodb-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,Amazon RDS for MariaDB,10.5.17,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-aws-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,Amazon RDS for MySQL,5.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,Amazon RDS for PostgreSQL,13,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/AwsPostgres_README.md
GDSC GDSC SaaS,GDSC SaaS,Amazon S3,,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,DocumentDB,4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,Neptune,1.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,Amazon RDS for SQL Server,14.00.3281.6,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/AWSMSSQL_README.md
